Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,1,a,44.916667,21,1,2,,169,1,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,2,,42.666667,21,1,2,,170,1,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,3,,40.916667,21,1,2,,179,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,4,,37.25,21,1,2,,167,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,5,b,33.316667,21,1,2,,163,1,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,1,a,44.916667,28,1,5,b,182,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,2,,42.666667,28,1,5,b,180,9,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,3,,40.916667,28,1,5,b,191,5,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,4,,37.25,28,1,5,b,185,3,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,5,b,33.316667,28,1,5,b,189,3,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,1,a,44.916667,17,2,1,a,154,7,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,2,,42.666667,17,2,1,a,164,3,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,4,,37.25,17,2,1,a,158,6,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,5,b,33.316667,17,2,1,a,165,9,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,1,a,44.916667,21,2,2,,508,21,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,2,,42.666667,21,2,2,,503,9,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,4,,37.25,21,2,2,,422,5,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,5,b,33.316667,21,2,2,,424,22,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,1,a,44.916667,28,2,3,b,786,24,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,2,,42.666667,28,2,3,b,799,14,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,4,,37.25,28,2,3,b,727,5,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate length,Counter,5,b,33.316667,28,2,3,b,702,20,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,1,a,44.916667,17,2,1,a,90,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,2,,42.666667,17,2,1,a,86,1,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,4,,37.25,17,2,1,a,92,1,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,5,b,33.316667,17,2,1,a,95,1,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,1,a,44.916667,21,2,2,,178,4,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,2,,42.666667,21,2,2,,180,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,4,,37.25,21,2,2,,164,0.2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,5,b,33.316667,21,2,2,,167,4,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,1,a,44.916667,28,2,3,b,233,3,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,2,,42.666667,28,2,3,b,241,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,4,,37.25,28,2,3,b,228,1,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate dry mass,Counter,5,b,33.316667,28,2,3,b,220,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,1,a,44.916667,17,2,1,a,83,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,2,,42.666667,17,2,1,a,91,19,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,4,,37.25,17,2,1,a,99,14,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,5,b,33.316667,17,2,1,a,66,5,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,1,a,44.916667,21,2,2,,184,16,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,2,,42.666667,21,2,2,,163,12,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,4,,37.25,21,2,2,,161,18,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,5,b,33.316667,21,2,2,,138,3,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,1,a,44.916667,28,2,3,b,218,7,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,2,,42.666667,28,2,3,b,207,7,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,4,,37.25,28,2,3,b,189,2,60,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,growth rate fresh mass,Counter,5,b,33.316667,28,2,3,b,195,1,60,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,1,a,41.085309,-1,1,,,1.382374008,0.6433649311,20,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,2,b,39.124483,-1,1,,,0.8886145781,0.4320904304,20,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,1,a,41.085309,2,1,1,a,3.256373916,1.080226076,20,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,2,b,39.124483,2,1,1,a,2.810923665,1.296271291,20,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,1,a,41.085309,6,1,,,5.661774791,1.296271291,20,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,2,b,39.124483,6,1,,,5.651107149,1.291500577,20,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,1,a,41.085309,10,1,2,b,7.439156342,1.517087221,20,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,ciliary activity,Counter,2,b,39.124483,10,1,2,b,7.81496213,1.949177651,20,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,4,b,,17,1,1,a,0.259710704,0.02139037433,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,3,,,17,1,1,a,0.2466941352,0.008682388007,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,2,,,17,1,1,a,0.3042658017,0.004278074866,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,1,a,,17,1,1,a,0.2741369335,0.007409843027,3,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,4,b,,21,1,4,b,0.4512492329,0.02994652406,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,3,,,21,1,4,b,0.3847567283,0.01711229947,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,2,,,21,1,4,b,0.5599754537,0.0385026738,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate length,Counter,1,a,,21,1,4,b,0.5469588849,0.03334429362,3,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,4,b,,17,1,1,a,0.140197744,0.004519566797,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,3,,,17,1,1,a,0.1342249403,0.01186325733,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,2,,,17,1,1,a,0.1378556105,0.007430884744,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,1,a,,17,1,1,a,0.1296666205,0.003838547255,3,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,4,b,,21,1,4,b,0.2122782949,0.01181966022,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,3,,,21,1,4,b,0.1907921871,0.01034220269,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,2,,,21,1,4,b,0.2165629217,0.01629562991,4,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,growth rate weight,Counter,1,a,,21,1,4,b,0.2253646933,0.006359822556,3,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",mass,Counter,1,a,41.629821,hi,1,2,b,0.1570317864,0.004286051204,34,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",mass,Counter,1,a,41.629821,low,1,1,a,0.1609090433,0.004081654045,34,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",mass,Counter,2,b,34.584929,hi,1,2,b,0.144972354,0.004081654045,35,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",mass,Counter,2,b,34.584929,low,1,1,a,0.1445509814,0.003877256885,35,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",developmental rate,Counter,1,a,41.629821,hi,1,2,b,4.834570741,0.3150684932,34,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",developmental rate,Counter,1,a,41.629821,low,1,1,a,4.416605668,0.2876712329,34,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",developmental rate,Counter,2,b,34.584929,hi,1,2,b,5.615392659,0.3016835721,35,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",developmental rate,Counter,2,b,34.584929,low,1,1,a,5.457701558,0.287984942,35,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",growth rate,Counter,1,a,41.629821,hi,1,2,b,0.8818458594,0.009183194154,34,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",growth rate,Counter,1,a,41.629821,low,1,1,a,0.8823547321,0.00850295755,34,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",growth rate,Counter,2,b,34.584929,hi,1,2,b,0.8702818372,0.00952592206,35,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",growth rate,Counter,2,b,34.584929,low,1,1,a,0.8792936674,0.00850295755,35,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,1,a,,17,1,1,a,0.2793606802,0.09769923882,39,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,1,a,,28,1,2,b,0.35750116,0.06970126056,39,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,2,b,,17,1,1,a,0.2608632949,0.06389971367,33,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,metabolic rate,Counter,2,b,,28,1,2,b,0.3166626955,0.08364151268,39,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,1,a,66,8,1,1,a,1.197946768,0.322664599,56,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,1,a,66,12,1,,,1.615437262,0.2868129769,56,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,1,a,66,15,1,,,1.710646388,0.4302194653,56,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,1,a,66,18,1,3,b,1.154144487,0.5377743316,56,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,2,,64,8,1,1,a,1.135665399,0.1991529141,27,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,2,,64,12,1,,,1.557946768,0.2236518837,27,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,2,,64,15,1,,,1.655551331,0.2360989409,27,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,2,,64,18,1,3,b,1.393688213,0.5974587424,27,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,3,b,45,8,1,1,a,0.9536121673,0.3593155894,25,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,3,b,45,12,1,,,1.385475285,0.383269962,25,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,3,b,45,15,1,,,1.58608365,0.3593155894,25,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,growth rate,Counter,3,b,45,18,1,3,b,1.182889734,0.5269961977,25,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,1,a,66,8,1,1,a,1.123726236,1.482688591,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,1,a,66,12,1,,,1.411863118,0.5011905097,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,1,a,66,15,1,,,1.243574144,0.7100198888,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,1,a,66,18,1,3,b,1.185323194,0.2509267301,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,2,,64,8,1,1,a,0.8266920152,0.4809705222,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,2,,64,12,1,,,1.110038023,0.3755614071,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,2,,64,15,1,,,1.056730038,0.3758928823,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,2,,64,18,1,3,b,1.070342205,0.4179902333,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,3,b,45,8,1,1,a,0.9177186312,0.4594246339,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,3,b,45,12,1,,,1.03338403,0.7096884135,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,3,b,45,15,1,,,1.147756654,1.065029833,19,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,digestion rate,Counter,3,b,45,18,1,3,b,1.032015209,0.5224049228,19,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate mass,Counter,1,a,44.81502,South,1,2,b,150.226558,25.10024386,60,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate mass,Counter,1,a,44.81502,North,1,1,a,87.48778523,10.48406759,60,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate mass,Counter,2,b,42.563526,South,1,2,b,85.05884796,13.23366288,60,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate mass,Counter,2,b,42.563526,North,1,1,a,67.1689354,5.693370526,60,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate thickness,Counter,1,a,44.81502,South,1,2,b,0.5993580747,0.2465394188,60,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate thickness,Counter,1,a,44.81502,North,1,1,a,0.3325321721,0.1077608801,60,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate thickness,Counter,2,b,42.563526,South,1,2,b,0.4000987397,0.1700874431,60,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",growth rate thickness,Counter,2,b,42.563526,North,1,1,a,0.2647776062,0.07688884415,60,
Secor et al. 2000,Effect of Temperature and Salinity on Growth Performance in Anadromous (Chesapeake Bay) and Nonanadromous (Santee-Cooper) Strains of Striped Bass Morone saxatilis,growth rate,Counter,1,a,,0.5,1,1,a,0.0913338114,0.05887928019,37,
Secor et al. 2000,Effect of Temperature and Salinity on Growth Performance in Anadromous (Chesapeake Bay) and Nonanadromous (Santee-Cooper) Strains of Striped Bass Morone saxatilis,growth rate,Counter,1,a,,7,1,1,a,0.08916696546,0.06335756598,37,
Secor et al. 2000,Effect of Temperature and Salinity on Growth Performance in Anadromous (Chesapeake Bay) and Nonanadromous (Santee-Cooper) Strains of Striped Bass Morone saxatilis,growth rate,Counter,1,a,,15,1,1,a,0.09881319469,0.0679885206,37,
Secor et al. 2000,Effect of Temperature and Salinity on Growth Performance in Anadromous (Chesapeake Bay) and Nonanadromous (Santee-Cooper) Strains of Striped Bass Morone saxatilis,growth rate,Counter,2,b,,0.5,1,2,b,0.08153699056,0.07699598178,37,
Secor et al. 2000,Effect of Temperature and Salinity on Growth Performance in Anadromous (Chesapeake Bay) and Nonanadromous (Santee-Cooper) Strains of Striped Bass Morone saxatilis,growth rate,Counter,2,b,,7,1,2,b,0.1158551452,0.08152515718,37,
Secor et al. 2000,Effect of Temperature and Salinity on Growth Performance in Anadromous (Chesapeake Bay) and Nonanadromous (Santee-Cooper) Strains of Striped Bass Morone saxatilis,growth rate,Counter,2,b,,15,1,2,b,0.08232341341,0.0679885206,37,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,3,b,66,8,1,1,a,1.82,0.5,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,2,,64,8,1,1,a,1.64,0.31,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,1,a,45,8,1,1,a,2.21,0.92,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,3,b,66,12,1,,,1.64,0.1,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,2,,64,12,1,,,2.2,0.2,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,1,a,45,12,1,,,2.76,0.3,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,3,b,66,15,1,,,2.25,0.64,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,2,,64,15,1,,,2.08,0.22,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,1,a,45,15,1,,,2.43,0.46,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,3,b,66,18,1,3,b,2.02,0.18,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,2,,64,18,1,3,b,2.09,0.45,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein efficiency ratio,Counter,1,a,45,18,1,3,b,2.31,0.14,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,3,b,66,8,1,1,a,0.27,0.08,30,
